countrycode,year,gdppc,pop
USA,1,,680
USA,1000,,"1,300"
USA,1500,,"2,000"
USA,1600,,"1,500"
USA,1650,897,
USA,1700,,"1,000"
USA,1720,"1,769",
USA,1775,"2,419",
USA,1800,"2,545",
USA,1801,"2,592",
USA,1802,"2,635",
USA,1803,"2,590",
USA,1804,"2,588",
USA,1805,"2,643",
USA,1806,"2,691",
USA,1807,"2,718",
USA,1808,"2,526",
USA,1809,"2,652",
USA,1810,"2,725",
USA,1811,"2,781",
USA,1812,"2,732",
USA,1813,"2,763",
USA,1814,"2,815",
USA,1815,"2,804",
USA,1816,"2,691",
USA,1817,"2,688",
USA,1818,"2,695",
USA,1819,"2,691",
USA,1820,"2,674","9,981"
USA,1821,"2,715","10,299"
USA,1822,"2,791","10,626"
USA,1823,"2,760","10,951"
USA,1824,"2,836","11,277"
USA,1825,"2,898","11,602"
USA,1826,"2,918","11,928"
USA,1827,"2,930","12,251"
USA,1828,"2,930","12,581"
USA,1829,"2,833","12,906"
USA,1830,"3,039","13,240"
USA,1831,"3,226","13,659"
USA,1832,"3,343","14,078"
USA,1833,"3,460","14,496"
USA,1834,"3,295","14,915"
USA,1835,"3,420","15,334"
USA,1836,"3,470","15,753"
USA,1837,"3,361","16,171"
USA,1838,"3,330","16,591"
USA,1839,"3,492","17,009"
USA,1840,"3,319","17,444"
USA,1841,"3,253","18,056"
USA,1842,"3,223","18,667"
USA,1843,"3,274","19,279"
USA,1844,"3,453","19,890"
USA,1845,"3,506","20,503"
USA,1846,"3,526","21,114"
USA,1847,"3,619","21,726"
USA,1848,"3,713","22,337"
USA,1849,"3,616","22,950"
USA,1850,"3,632","23,580"
USA,1851,"3,778","24,405"
USA,1852,"3,971","25,231"
USA,1853,"4,242","26,157"
USA,1854,"4,254","26,882"
USA,1855,"4,161","27,708"
USA,1856,"4,248","28,535"
USA,1857,"4,156","29,360"
USA,1858,"4,177","30,186"
USA,1859,"4,289","31,012"
USA,1860,"4,402","31,839"
USA,1861,"4,312","32,678"
USA,1862,"4,447","33,516"
USA,1863,"4,734","34,355"
USA,1864,"4,889","35,192"
USA,1865,"4,637","36,031"
USA,1866,"4,600","36,869"
USA,1867,"4,752","37,708"
USA,1868,"4,816","38,546"
USA,1869,"4,943","39,385"
USA,1870,"4,803","40,241"
USA,1871,"4,919","41,098"
USA,1872,"4,992","42,136"
USA,1873,"5,117","43,174"
USA,1874,"4,965","44,212"
USA,1875,"5,105","45,245"
USA,1876,"5,050","46,287"
USA,1877,"5,099","47,325"
USA,1878,"5,199","48,362"
USA,1879,"5,716","49,400"
USA,1880,"6,256","50,458"
USA,1881,"6,317","51,743"
USA,1882,"6,558","53,027"
USA,1883,"6,559","54,311"
USA,1884,"6,523","55,595"
USA,1885,"6,424","56,879"
USA,1886,"6,472","58,164"
USA,1887,"6,617","59,448"
USA,1888,"6,447","60,732"
USA,1889,"6,706","62,016"
USA,1890,"6,665","63,302"
USA,1891,"6,811","64,612"
USA,1892,"7,324","65,922"
USA,1893,"6,834","67,231"
USA,1894,"6,510","68,541"
USA,1895,"7,160","69,851"
USA,1896,"6,886","71,161"
USA,1897,"7,406","72,471"
USA,1898,"7,427","73,781"
USA,1899,"7,959","75,091"
USA,1900,"8,038","76,391"
USA,1901,"8,770","77,888"
USA,1902,"8,684","79,469"
USA,1903,"8,941","80,946"
USA,1904,"8,664","82,485"
USA,1905,"9,121","84,147"
USA,1906,"9,980","85,770"
USA,1907,"9,951","87,339"
USA,1908,"8,976","89,055"
USA,1909,"9,798","90,845"
USA,1910,"9,637","92,767"
USA,1911,"9,736","94,234"
USA,1912,"9,977","95,703"
USA,1913,"10,108","97,606"
USA,1914,"9,096","99,505"
USA,1915,"9,164","100,941"
USA,1916,"10,222","102,364"
USA,1917,"9,769","103,817"
USA,1918,"10,471","104,958"
USA,1919,"10,450","105,473"
USA,1920,"10,153","106,881"
USA,1921,"9,675","108,964"
USA,1922,"10,010","110,484"
USA,1923,"11,071","112,387"
USA,1924,"11,127","114,558"
USA,1925,"11,150","116,284"
USA,1926,"11,648","117,857"
USA,1927,"11,532","119,502"
USA,1928,"11,451","120,971"
USA,1929,"11,954","122,245"
USA,1930,"10,695","123,668"
USA,1931,"9,931","124,633"
USA,1932,"8,381","125,436"
USA,1933,"8,048","126,180"
USA,1934,"8,667","126,978"
USA,1935,"9,681","127,859"
USA,1936,"10,568","128,681"
USA,1937,"11,295","129,464"
USA,1938,"10,526","130,476"
USA,1939,"11,171","131,539"
USA,1940,"12,005","132,637"
USA,1941,"13,553","133,922"
USA,1942,"14,870","135,386"
USA,1943,"16,050","137,272"
USA,1944,"16,999","138,937"
USA,1945,"16,478","140,474"
USA,1946,"14,822","141,940"
USA,1947,"14,312","144,688"
USA,1948,"14,734","147,203"
USA,1949,"14,197","149,770"
USA,1950,"15,240","152,271"
USA,1951,"16,125","154,878"
USA,1952,"16,444","157,553"
USA,1953,"16,917","160,184"
USA,1954,"16,512","163,026"
USA,1955,"17,370","165,931"
USA,1956,"17,397","168,903"
USA,1957,"17,406","171,984"
USA,1958,"16,946","174,882"
USA,1959,"17,900","177,830"
USA,1960,"18,057","180,671"
USA,1961,"18,175","183,691"
USA,1962,"18,976","186,538"
USA,1963,"19,514","189,242"
USA,1964,"20,360","191,889"
USA,1965,"21,390","194,303"
USA,1966,"22,529","196,560"
USA,1967,"22,842","198,712"
USA,1968,"23,691","200,706"
USA,1969,"24,195","202,677"
USA,1970,"23,958","205,052"
USA,1971,"24,394","207,661"
USA,1972,"25,414","209,896"
USA,1973,"26,602","211,909"
USA,1974,"26,286","213,854"
USA,1975,"25,956","215,973"
